input,recipe_name,output
beans onion capsicum oil butter carrot,Beans Fry,"### CONTEXT
Ingredients: beans, onion, capsicum, oil, butter, carrot

### ANSWER
<RECIPE_NAME> Beans Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add beans and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in oil and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and oil.
<END>"
rice peas ghee paneer cashew mushroom,Paneer Pulao,"### CONTEXT
Ingredients: rice, peas, ghee, paneer, cashew, mushroom

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté peas until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
flour onion peas salt,Paratha,"### CONTEXT
Ingredients: flour, onion, peas, salt

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with onion and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little salt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with onion or yogurt.
<END>"
rice mushroom beans paneer ghee,Paneer Pulao,"### CONTEXT
Ingredients: rice, mushroom, beans, paneer, ghee

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté mushroom until fragrant.
<STEP> Add beans and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with beans.
<END>"
rice potato ghee beans mushroom capsicum onion,Potato Pulao,"### CONTEXT
Ingredients: rice, potato, ghee, beans, mushroom, capsicum, onion

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
mutton mushroom peas beans,Mutton Fry,"### CONTEXT
Ingredients: mutton, mushroom, peas, beans

### ANSWER
<RECIPE_NAME> Mutton Fry
<STEP> Heat oil in pan and sauté mushroom until aromatic.
<STEP> Add mutton and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in beans and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and beans.
<END>"
spinach cauliflower beans ginger onion,Cauliflower Fry,"### CONTEXT
Ingredients: spinach, cauliflower, beans, ginger, onion

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté cauliflower until aromatic.
<STEP> Add spinach and cook on medium heat until sealed.
<STEP> Add beans and stir continuously so ingredients combine well.
<STEP> Mix in ginger and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with beans and ginger.
<END>"
beans peas onion garlic ginger oil,Peas Fry,"### CONTEXT
Ingredients: beans, peas, onion, garlic, ginger, oil

### ANSWER
<RECIPE_NAME> Peas Fry
<STEP> Heat oil in pan and sauté peas until aromatic.
<STEP> Add beans and cook on medium heat until sealed.
<STEP> Add onion and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with onion and garlic.
<END>"
flour cauliflower peas yogurt,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, cauliflower, peas, yogurt

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with cauliflower and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little yogurt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
beans brinjal yogurt carrot,Brinjal Curry,"### CONTEXT
Ingredients: beans, brinjal, yogurt, carrot

### ANSWER
<RECIPE_NAME> Brinjal Curry
<STEP> Heat oil in pan and sauté brinjal until slightly golden.
<STEP> Add yogurt and cook until the mixture turns soft.
<STEP> Add beans with carrot and stir gently to coat.
<STEP> Cook the mixture until beans absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice peas carrot yogurt,Peas Biryani,"### CONTEXT
Ingredients: rice, peas, carrot, yogurt

### ANSWER
<RECIPE_NAME> Peas Biryani
<STEP> Heat ghee in a pot and sauté peas until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add yogurt and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
egg butter capsicum garlic ginger oil carrot,Egg Fry,"### CONTEXT
Ingredients: egg, butter, capsicum, garlic, ginger, oil, carrot

### ANSWER
<RECIPE_NAME> Egg Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add egg and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and garlic.
<END>"
brinjal oil okra mushroom,Okra Curry,"### CONTEXT
Ingredients: brinjal, oil, okra, mushroom

### ANSWER
<RECIPE_NAME> Okra Curry
<STEP> Heat oil in pan and sauté oil until slightly golden.
<STEP> Add okra and cook until the mixture turns soft.
<STEP> Add brinjal with mushroom and stir gently to coat.
<STEP> Cook the mixture until brinjal absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice potato peas beans,Potato Pulao,"### CONTEXT
Ingredients: rice, potato, peas, beans

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
rice beans capsicum paneer onion mushroom peas,Paneer Pulao,"### CONTEXT
Ingredients: rice, beans, capsicum, paneer, onion, mushroom, peas

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté beans until fragrant.
<STEP> Add capsicum and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with capsicum.
<END>"
chicken garlic butter cream yogurt ginger hung curd,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, garlic, butter, cream, yogurt, ginger, hung curd

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with garlic, butter and cream thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with garlic and lemon.
<END>"
flour ghee mushroom,Paratha,"### CONTEXT
Ingredients: flour, ghee, mushroom

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with ghee and mushroom until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with ghee or yogurt.
<END>"
rice capsicum carrot peas paneer egg,Paneer Pulao,"### CONTEXT
Ingredients: rice, capsicum, carrot, peas, paneer, egg

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté capsicum until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
flour potato onion peas water mushroom,Potato Paratha,"### CONTEXT
Ingredients: flour, potato, onion, peas, water, mushroom

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with potato and onion until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little peas.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with potato or yogurt.
<END>"
mushroom onion potato yogurt ginger tomato,Potato Curry,"### CONTEXT
Ingredients: mushroom, onion, potato, yogurt, ginger, tomato

### ANSWER
<RECIPE_NAME> Potato Curry
<STEP> Heat oil in pan and sauté onion until slightly golden.
<STEP> Add potato and cook until the mixture turns soft.
<STEP> Add mushroom with yogurt and stir gently to coat.
<STEP> Cook the mixture until mushroom absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice ghee onion carrot peas paneer raisins,Paneer Biryani,"### CONTEXT
Ingredients: rice, ghee, onion, carrot, peas, paneer, raisins

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté ghee until fragrant.
<STEP> Add onion and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add carrot and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with onion.
<END>"
rice capsicum egg carrot mushroom,Egg Pulao,"### CONTEXT
Ingredients: rice, capsicum, egg, carrot, mushroom

### ANSWER
<RECIPE_NAME> Egg Pulao
<STEP> Heat ghee in a pot and sauté capsicum until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add carrot and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
rice potato paneer egg beans onion cashew,Paneer Pulao,"### CONTEXT
Ingredients: rice, potato, paneer, egg, beans, onion, cashew

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add paneer and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add egg and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with paneer.
<END>"
rice paneer beans mint carrot egg,Paneer Biryani,"### CONTEXT
Ingredients: rice, paneer, beans, mint, carrot, egg

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté paneer until fragrant.
<STEP> Add beans and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mint and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with beans.
<END>"
rice paneer mushroom cashew onion,Paneer Biryani,"### CONTEXT
Ingredients: rice, paneer, mushroom, cashew, onion

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté paneer until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add cashew and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
cauliflower butter peas oil ginger,Cauliflower Fry,"### CONTEXT
Ingredients: cauliflower, butter, peas, oil, ginger

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add cauliflower and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in oil and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and oil.
<END>"
chicken cream cashew paste brinjal peas oil potato,Butter Chicken,"### CONTEXT
Ingredients: chicken, cream, cashew paste, brinjal, peas, oil, potato

### ANSWER
<RECIPE_NAME> Butter Chicken
<STEP> Heat oil in pan and sauté cream until slightly golden.
<STEP> Add cashew paste and cook until the mixture turns soft.
<STEP> Add chicken with brinjal and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
